source_artifact,legacy_field_path,canonical_predicate,canonical_value_model,phase4_adapter,notes
#Methodology&1.0.0,title,dcterms:title,language-tagged literal,sMethodology_1x0x0_toFluree,Used only when the methodology node is materialized in JSON-LD.
#Methodology&1.0.0,version,meth:hasVersion,string literal,sMethodology_1x0x0_toFluree,Replaces legacy data:versionTag.
#PDDxB&9.0.0,impacts,nias-o:hasDeclaredImpact,impactont:Impact nodes inside nias-o:ImpactDeclaration,sPDDxB_9x0x0_toFluree,PDD-B now emits an impact declaration wrapper for canonical validation.
#TableRow-DataParameterMonitoring&1.0.0,label,rdfs:label,string literal,dataParameterMonitoring_toFluree,
#TableRow-DataParameterMonitoring&1.0.0,unit_of_measure,ind:hasUnit,QUDT unit IRI,dataParameterMonitoring_toFluree,
#TableRow-DataParameterMonitoring&1.0.0,description,schema:description,string literal,dataParameterMonitoring_toFluree,
#TableRow-DataParameterMonitoring&1.0.0,purpose,nias-o:dataParameterPurpose,string literal,dataParameterMonitoring_toFluree,
#TableRow-DataParameterMonitoring&1.0.0,monitored_or_fixed,nias-o:monitoredOrFixed,SKOS concept IRI in nias-cs:MonitoredOrFixed,dataParameterMonitoring_toFluree,
#TableRow-DataParameterMonitoring&1.0.0,value_applied,nias-o:parameterAppliedValue,numeric literal,dataParameterMonitoring_toFluree,Required by canonical shape for fixed ex-ante rows.
#TableRow-DataParameterMonitoring&1.0.0,data_source,nias-o:dataSource,string literal,dataParameterMonitoring_toFluree,Required by canonical shape for fixed ex-ante rows.
#TableRow-DataParameterMonitoring&1.0.0,measurement_methods_and_procedures,nias-o:measurementMethodsAndProcedures,string literal,dataParameterMonitoring_toFluree,Required by canonical shape for monitored rows.
#TableRow-DataParameterMonitoring&1.0.0,qa_qc_procedures,nias-o:qaQcProcedures,string literal,dataParameterMonitoring_toFluree,Required by canonical shape for monitored rows.
#TableRow-DataParameterMonitoring&1.0.0,monitoring_frequency,nias-o:monitoringFrequency,string literal,dataParameterMonitoring_toFluree,Required by canonical shape for monitored rows.
#TableRow-DataParameterMonitoring&1.0.0,sampling_plan,nias-o:samplingPlan,string literal,dataParameterMonitoring_toFluree,Required by canonical shape for monitored rows.
workflowDocumentMetadata_toFluree,dfDocMd$uri_ipfs,nias-o:resourceIpfsUri,xsd:anyURI literal,workflowDocumentMetadata_toFluree,
workflowDocumentMetadata_toFluree,dfDocMd$id_schema,nias-o:documentSchema,nias-o:DocumentSchema IRI,workflowDocumentMetadata_toFluree,
workflowDocumentMetadata_toFluree,dfDocMd$encrypted,nias-o:isEncrypted,xsd:boolean literal,workflowDocumentMetadata_toFluree,
workflowDocumentMetadata_toFluree,dfDocMd$did_author,nias-o:documentAuthor / nias-o:workflowDocumentSubmittedBy,nias-o:PlatformUser IRI,workflowDocumentMetadata_toFluree,Uses DB lookup when available and a stable slug fallback otherwise.
workflowDocumentMetadata_toFluree,dfDocMd$type_doc,nias-o:authProof,SKOS concept IRI in nias-cs:AuthProof,workflowDocumentMetadata_toFluree,
workflowDocumentMetadata_toFluree,dfDocMd$id_workflow,nias-o:workflow,nias-o:Workflow IRI,workflowDocumentMetadata_toFluree,
workflowDocumentMetadata_toFluree,dfDocMd$step_workflow,nias-o:workflowStep/rdfs:label,nias-o:WorkflowStep node,workflowDocumentMetadata_toFluree,
workflowDocumentMetadata_toFluree,dfDocMd$id_entity,nias-o:workflowSubject,project/activity IRI,workflowDocumentMetadata_toFluree,
workflowDocumentMetadata_toFluree,dfDocMd$id_message_h,nias-o:workflowSubmissionConsensusMessage,hedera:TopicMessage node,workflowDocumentMetadata_toFluree,Legacy topic-timestamp strings are parsed into Hashgraph Ontology topic and consensus timestamp fields where possible.
